Defect ID,Test Case,Summary,Severity,Actual Behaviour,Why It Matters
D-01,TC_REG_007,Full Name field accepts digits,Medium,Registration succeeds with the name Aavash123.,Invalid names may be saved and shown on job applications.
D-02,TC_REG_013,Mobile numbers beginning with 97 are rejected,Medium,Registration is blocked for the valid Nepali mobile number 9741234567.,Users with valid 97 mobile numbers cannot create an account.
D-03,TC_REG_018,Full Name field accepts unsupported symbols,Medium,Registration succeeds with unsupported symbols in the name: aavash@#$.,Invalid symbols may be saved in the user's name.
D-04,TC_REG_024,Valid minimum-length password is rejected,Medium,A 6-character password that meets the displayed character rules is rejected.,Users may be unable to register even when their password follows the shown rules.
D-05,TC_REG_025,Password without an uppercase letter is accepted,Medium,Registration succeeds with test@123 even though it has no uppercase letter.,"Weak passwords can be accepted, reducing account security."
D-06,TC_REG_028,Valid non-Gmail email addresses are rejected,Medium,A valid Outlook email is rejected because the address does not end with @gmail.com.,Users with valid Outlook or Yahoo emails cannot register.
D-07,TC_OTP_006,No limit on wrong OTP attempts,High,A wrong OTP can be submitted repeatedly without a lock or attempt limit.,Attackers can keep guessing OTPs without restriction.
D-08,TC_LOGIN_009,Login rejects uppercase form of a registered email,Medium,The registered Gmail address is rejected when entered in uppercase letters.,A valid user may be unable to log in because of email letter case.
D-09,TC_LOGIN_012,No limit on repeated incorrect-password attempts,High,Repeated wrong passwords do not trigger throttling or a temporary lock.,Attackers can keep guessing passwords without restriction.
D-10,TC_LOGIN_016,Login messages reveal whether an email is registered,Medium,An unregistered email returns Please Enter valid Email ID. A registered email with a wrong password returns Please Enter valid Password.,"Because the two responses differ, anyone can test an address and learn whether it has an account on the portal. Combined with D-09, where password attempts are not limited, this gives an attacker both a list of valid accounts and unlimited attempts against them. Both failures should return the same message."
